frame,ball_id,vx,vy,speed
24,2,0.0,0.0,0.0
24,3,0.0,0.0,0.0
24,4,0.0,0.0,0.0
24,5,0.0,0.0,0.0
24,6,0.0,0.0,0.0
25,0,0.0,0.0,0.0
25,1,0.0,0.0,0.0
25,2,0.0,0.0,0.0
25,3,0.0,0.0,0.0
25,4,0.0,0.0,0.0
25,5,0.0,0.0,0.0
25,6,0.0,0.0,0.0
26,0,0.0,0.0,0.0
26,1,0.0,0.0,0.0
26,2,0.0,0.0,0.0
26,3,0.0,0.0,0.0
26,4,0.0,0.0,0.0
26,5,0.0,0.0,0.0
26,6,0.0,0.0,0.0
27,0,0.0,0.0,0.0
27,1,0.0,0.0,0.0
27,2,0.0,0.0,0.0
27,3,0.0,0.0,0.0
27,4,0.0,0.0,0.0
27,5,0.0,0.0,0.0
